course,lecturer,group,classroom
Porównawcze systemy ekonomiczne,Prof. Jan Szymański,UIE.CB5.ULG.4962.LZU,E381
Społeczna odpowiedzialność biznesu,Dr hab. Piotr Nowakowski,UXG.UH4.KAL.6970.LCC,E318
Etyczne hackowanie dla biznesu,Dr. Piotr Wiśniewski,REY.EF1.LDG.3382.AKB,H365
Matematyka dla ekonomistów,Mgr. Jan Lewandowski,NMO.SN9.DPB.1224.YMA,G104
Międzynarodowe zarządzanie finansami,Prof. Anna Nowak,JSI.BX2.UAJ.4340.SGP,H365
Ład korporacyjny,Dr. Marek Woźniak,QYC.YJ4.TUT.5534.TQY,A135
Zaawansowane finanse przedsiębiorstw,Dr hab. Maria Lewandowska,TML.NS4.BCX.5709.BLF,H236
Zaawansowane badania konsumenckie,Mgr. Jan Wiśniewski,EZE.KI2.VAU.3851.CQF,F124
Zarządzanie projektami,Dr. Marek Lewandowski,IDX.LQ3.VQU.4220.PYO,G311
Zarządzanie lotnictwem,Mgr. Piotr Kamiński,YSH.CI5.YEG.5108.TOL,D352
Handel i finanse,Dr hab. Ewa Dąbrowska,TNW.AG3.GVN.7332.DQB,B394
Modelowanie finansowe,Dr. Marek Woźniak,ZBD.VA1.MYH.5403.BLV,D352
Ład korporacyjny,Inż. Maria Dąbrowski,VWM.OY2.PWX.4783.SBT,E348
Globalizacja i biznes,Dr hab. Piotr Nowak,BLB.OL6.FEJ.3647.EAL,A180
Technologie finansowe (FinTech),Dr hab. Marek Zieliński,GQA.DX2.YJU.0455.RKZ,E381
Python dla biznesu,Inż. Katarzyna Zielińska,DTX.YL0.PXJ.2128.IQD,F229
Wprowadzenie do makroekonomii,Mgr. Piotr Dąbrowski,QYC.YJ4.TUT.5534.TQY,D271
Rachunkowość zarządcza,Prof. Zofia Miodowska,FRN.RT0.YRW.7844.INO,F124
Przedsiębiorczość,Mgr. Tomasz Dąbkowski,JSI.BX2.UAJ.4340.SGP,E233
Optymalizacja procesów biznesowych,Mgr. Zofia Wiśniewska,TZY.YT4.LMI.6309.TTF,E325
Zarządzanie marką,Dr. Anna Lewandowska,SIL.DJ6.TIA.8325.HAB,D264
Kapitał podwyższonego ryzyka,Mgr. Maria Kamińska,JEA.JB5.MHM.9323.KHY,E211
Rozwój organizacyjny,Dr hab. Andrzej Wójcik,TJV.BQ7.GMX.2994.NOH,G364
Psychologia konsumenta,Mgr. Zofia Wiśniewska,EDK.VE5.MBM.5514.LJK,B198
Zarządzanie polem namiotowym,Inż. Katarzyna Dąbrowska,XVL.LU4.PEN.2514.ODK,B394
Badania operacyjne,Dr hab. Ewa Dąbrowska,PMP.CC8.WON.1917.TGB,D264
Statystyka II,Mgr. Jan Szymański,EYU.DT6.TBC.3104.SJC,F345
Finanse behawioralne,Dr. Zofia Lewandowska,YPI.UT8.WNQ.9042.LCR,E173
Rozwój produktu,Dr hab. Ewa Zielińska,SIL.DJ6.TIA.8325.HAB,H264
Gry symulacyjne w biznesie,Prof. Andrzej Szymański,KFC.GX1.OCI.3890.MTV,F208
Blockchain i kryptowaluty,Mgr. Anna Lewandowska,UIK.YG2.MZB.0483.FSE,A180
Różnorodność w miejscu pracy,Mgr. Marek Wójcik,XXS.EZ2.OIQ.3916.YLB,A358
Analiza marketingowa,Mgr. Piotr Szymański,PLH.LQ3.MTC.3521.PGO,E183
Analiza szeregów czasowych,Dr hab. Piotr Nowak,XUT.PP4.WUP.5597.NPT,H211
Prognozowanie sprzedaży,Dr. Piotr Wiśniewski,FZG.ZU8.QCV.7696.WAK,A136
Prognozowanie i planowanie zapasów,Mgr. Piotr Kamień,HIH.IJ1.ZSL.5927.IMV,C320
Zintegrowana komunikacja marketingowa,Dr. Anna Dąbrowska,MBT.WM1.VBU.1712.FPS,C332
Aplikacje mobilne dla biznesu,Mgr. Jan Szymański,TZY.YT4.LMI.6309.TTF,D385
Odpowiedzialność społeczna przedsiębiorstw,Mgr. Anna Lewandowska,IYN.XL7.DFR.6478.FRH,A396
Technologia łańcucha dostaw,Prof. Katarzyna Wójcik,SEA.EL4.UCP.5738.FCI,B243
Strategie rekrutacyjne,Inż. Andrzej Kowalski,PIY.GW7.POE.7887.AIN,E183
Analiza sprawozdań finansowych,Mgr. Tomasz Polak,ASA.ZH3.YPJ.4121.BXE,H112
Zamówienia publiczne,Dr hab. Marek Dąbrowski,KRE.WO3.CZH.9033.RII,E348
Zarządzanie zaopatrzeniem,Mgr. Anna Lewandowska,GKO.HO2.HMH.3308.RSM,D264
Zachowania konsumentów,Mgr. Piotr Szymański,SGT.TY6.GYI.6888.DBD,D271
Public Relations,Inż. Andrzej Kowalski,LMG.DA0.DJG.7897.GPB,E348
Zarządzanie polem namiotowym,Mgr. Tomasz Dąbkowski,BNM.WD8.BSF.4070.UUF,E381
Badania operacyjne,Mgr. Andrzej Kamiński,EDK.VE5.MBM.5514.LJK,B226
Ekonometria,Dr hab. Andrzej Lewandowski,RON.JD8.HHL.4129.SXR,B135
Wprowadzenie do nauki o danych,Mgr. Piotr Lewandowski,HIH.IJ1.ZSL.5927.IMV,B209
Wprowadzenie do mikroekonomii,Inż. Zofia Wójcik,PLH.LQ3.MTC.3521.PGO,E165
Globalizacja i biznes,Dr hab. Piotr Szymański,JVV.AT7.RTF.2808.JXU,E286
Zamówienia publiczne,Mgr. Maria Lewandowska,ZUQ.GU2.CGD.1182.WMT,C143
Metodologia Six Sigma,Mgr. Tomasz Nowakiewicz,GQA.DX2.YJU.0455.RKZ,G311
Innowacja w modelach biznesowych,Inż. Marek Szymański,LFY.RT1.MVS.7881.FOJ,E282
Rozwój gospodarczy,Mgr. Marek Wójcik,TNW.AG3.GVN.7332.DQB,E233
Zarządzanie bezpieczeństwem IT,Inż. Zofia Dąbrowska,WPF.BA4.HUF.2508.ZCE,E385
Zarządzanie zaopatrzeniem,Mgr. Piotr Szymański,OIA.PL3.WUJ.5193.MRZ,C242
Doskonałość w obsłudze klienta,Prof. Tomasz Dąbrowski,NRZ.DO2.NLS.1664.FDN,D255
Metodologia Six Sigma,Mgr. Tomasz Polak,UMI.WM8.CRQ.7059.SDN,C143
Zaawansowane umiejętności komunikacyjne,Inż. Zofia Woźniak,NWW.AW6.BIF.8667.JPM,D191
Planowanie mediów,Inż. Marek Szymański,QSC.TR2.PPG.1283.PVD,D385
Zarządzanie talentami,Dr hab. Marek Zieliński,XUT.PP4.WUP.5597.NPT,E348
Studia kulturowe,Mgr. Piotr Wójcik,LKU.BN9.NAA.4285.QLQ,H365
Zarządzanie portfelem,Mgr. Piotr Kamiński,VYS.XC2.XEW.5584.LDS,B243
Ekonomia behawioralna,Mgr. Marek Wójcik,JVV.AT7.RTF.2808.JXU,D271
Zarządzanie talentami,Prof. Marek Lewandowski,SIL.DJ6.TIA.8325.HAB,H327
Regulacje dotyczące prywatności danych,Dr hab. Zofia Szymanowska,VYS.XC2.XEW.5584.LDS,D264
Zarządzanie start-upami,Mgr. Maria Kamińska,EWE.GX2.ODV.7316.WMH,H203
Prezentacje i wystąpienia publiczne,Mgr. Zofia Woźnicka,WCZ.ZI6.EIL.6927.ANQ,A180
Zaawansowane umiejętności komunikacyjne,Inż. Katarzyna Zielińska,FRN.RT0.YRW.7844.INO,C332
Przywództwo w biznesie i strategia,Dr. Katarzyna Szyszka,XOO.YT3.SUV.4283.UGS,F139
Inteligentna logistyka miejska,Mgr. Jan Wiśniewski,KEM.TL8.ZET.1963.BSS,E385
Podstawy zarządzania polem namiotowym,Dr hab. Ewa Zielińska,EHK.JR4.LDZ.7467.NJL,B379
Globalne strategie HR,Dr. Katarzyna Szymańska,TNX.EB3.GUQ.0296.LHW,D385
Podatki,Dr. Katarzyna Zielińska,XUT.PP4.WUP.5597.NPT,C242
Zaawansowane finanse przedsiębiorstw,Dr. Marek Lewandowski,DTQ.YN8.OSR.2823.BLL,H211
Rynki instrumentów pochodnych,Dr hab. Zofia Szymanowska,UUL.ZS0.SES.3286.KDH,F139
Zarządzanie cyklem życia produktu,Mgr. Anna Lewandowska,RLG.ZU1.UWL.6089.NVU,E233
Raportowanie zrównoważonego rozwoju,Prof. Zofia Kowalska,YPI.UT8.WNQ.9042.LCR,E286
Analiza marketingowa,Prof. Maria Szymańska,REY.EF1.LDG.3382.AKB,C105
Środowisko prawne biznesu,Dr. Zofia Lewandowska,LMG.DA0.DJG.7897.GPB,E348
Zarządzanie start-upami,Inż. Zofia Dąbrowska,VEQ.VX8.OYN.3058.DWG,F345
Rachunkowość finansowa,Mgr. Tomasz Dąbkowski,RON.JD8.HHL.4129.SXR,G210
Planowanie mediów,Dr. Katarzyna Szymańska,QMY.KY7.WGH.8609.ZNW,C379
Python dla biznesu,Inż. Anna Kowalska,XXS.EZ2.OIQ.3916.YLB,E183
Planowanie zasobów przedsiębiorstwa,Inż. Andrzej Nowak,HVB.OJ6.GZB.7025.KSG,A326
Handel międzynarodowy,Mgr. Zofia Kowalska,KWG.EU5.SBA.8424.ENI,C328
Systemy informacyjne zarządzania,Mgr. Anna Lewandowska,OIA.PL3.WUJ.5193.MRZ,F328
Systemy wynagrodzeń i benefitów,Mgr. Marek Zieliński,PBQ.CO9.RRX.4565.HAO,C242
Zarządzanie projektami IT,Dr. Anna Lewandowska,DET.MD5.VNX.2185.ECF,B120
Negocjacje i rozwiązywanie konfliktów,Dr. Zofia Lewandowska,BNM.WD8.BSF.4070.UUF,G210
Analiza inwestycji,Inż. Piotr Szymański,NTV.KM5.ZHF.9246.EXE,E385
Blockchain i kryptowaluty,Prof. Maria Woźniak,IPF.ES4.EHB.4201.SBL,H235
Przywództwo w biznesie i strategia,Prof. Marek Wójcik,LLO.ZY4.WVH.2797.XDC,B193
Podstawy marketingu,Dr. Marek Kamiński,HKX.SN9.IAC.7326.USM,E173
Strategie w mediach społecznościowych,Prof. Jan Szymański,YFY.AV8.HYC.2161.UAZ,E165
Analiza papierów wartościowych,Dr. Marek Lewandowski,BLB.OL6.FEJ.3647.EAL,E325
Zarządzanie jakością,Mgr. Piotr Wójcik,OIA.PL3.WUJ.5193.MRZ,F124
Regulacje rynków finansowych,Mgr. Anna Lewandowska,FGJ.AP7.YSO.3133.DTF,B340
Zarządzanie logistyką,Dr hab. Katarzyna Kamiński,UMI.WM8.CRQ.7059.SDN,E186
Zarządzanie ryzykiem,Dr hab. Ewa Dąbrowska,SPX.DN5.CDE.7506.OZM,C332
Optymalizacja dla wyszukiwarek (SEO),Dr. Zofia Woźniakowska,MVS.HR6.FRH.7803.YTL,H235
Historia gospodarcza,Mgr. Tomasz Nowakiewicz,CFZ.ID0.BEZ.3781.RGX,A396
Operacje magazynowe,Mgr. Tomasz Dąbkowski,TNX.EB3.GUQ.0296.LHW,D352
Zaawansowana analiza makroekonomiczna,Mgr. Anna Zielińska,SGT.TY6.GYI.6888.DBD,H112
Zarządzanie start-upami,Prof. Katarzyna Wójcik,UZL.LB0.AQE.7323.UPI,H134
Finanse publiczne,Prof. Marek Lewandowski,PTH.NO0.IXY.3726.FAA,H251
Zarządzanie cyklem życia produktu,Mgr. Tomasz Polak,MIR.SW8.VIF.7653.UAG,F328
Strategie w mediach społecznościowych,Dr hab. Tomasz Woźniak,QGF.VQ3.SEX.5164.CAI,D352
Zarządzanie zdrowiem i bezpieczeństwem,Mgr. Piotr Wójcik,ONB.OI9.BTJ.4024.QSE,A326
Innowacja w modelach biznesowych,Dr. Jan Zieliński,ZUQ.GU2.CGD.1182.WMT,H236
Zaawansowane praktyki HR,Prof. Maria Wójcik,LLO.ZY4.WVH.2797.XDC,B379
Zarządzanie projektami,Dr. Zofia Woźniakowska,LUN.TR2.DAP.9566.KDS,B300
